role_id,role_name,category,required_skills,preferred_skills,min_experience_years,description,learning_path
1,Python Developer,Software Development,"python, django, flask, sql, git, rest api","docker, redis, pytest, postgresql, aws",0,"Develops robust server-side logic, data processing scripts, and scalable web backends using Python frameworks.","1. Python Core -> 2. Data Structures & OOP -> 3. Flask/Django Framework -> 4. SQL & ORM -> 5. REST APIs & Git"
2,Java Developer,Software Development,"java, spring boot, sql, oop, git, microservices","hibernate, docker, maven, junit, aws",0,"Designs and implements enterprise backend services and secure microservices using Java and Spring ecosystem.","1. Core Java & OOP -> 2. Collections & Multithreading -> 3. Spring Boot -> 4. Hibernate/JPA & SQL -> 5. Microservices & CI/CD"
3,Data Analyst,Data & Analytics,"sql, python, excel, data visualization, power bi, pandas","tableau, statistics, data cleaning, r",0,"Collects, cleans, analyzes, and visualizes complex datasets to provide actionable business intelligence.","1. Advanced Excel -> 2. SQL Querying & Relational DBs -> 3. Python (Pandas & NumPy) -> 4. Data Visualization (Power BI / Tableau) -> 5. Business Storytelling"
4,Data Scientist,Data & Analytics,"python, machine learning, statistics, pandas, numpy, scikit-learn, sql","deep learning, nlp, tensorflow, pytorch, big data",1,"Leverages statistical modeling, machine learning, and predictive analytics to discover insights from complex data.","1. Statistics & Probability -> 2. Python Data Stack (NumPy/Pandas/Matplotlib) -> 3. Machine Learning Algorithms (Scikit-learn) -> 4. SQL & Data Wrangling -> 5. Deep Learning Fundamentals"
5,Machine Learning Engineer,AI & ML,"python, machine learning, deep learning, tensorflow, pytorch, scikit-learn, nlp","docker, kubernetes, mlops, opencv, aws",1,"Builds, trains, evaluates, and deploys production machine learning and deep learning models at scale.","1. Advanced Math & Linear Algebra -> 2. Supervised & Unsupervised ML -> 3. Deep Learning (PyTorch/TensorFlow) -> 4. NLP & Computer Vision -> 5. Model Deployment & MLOps"
6,Backend Developer,Web Development,"node.js, express.js, sql, mongodb, rest restful apis, git","docker, redis, microservices, typescript, aws",0,"Builds and maintains scalable server architectures, database pipelines, and secure API layers.","1. JavaScript/TypeScript -> 2. Node.js & Express -> 3. SQL & NoSQL Databases -> 4. API Security & Authentication -> 5. System Design & Caching"
7,Frontend Developer,Web Development,"html, css, javascript, react, responsive design, git, bootstrap","typescript, redux, tailwind css, next.js, webpack",0,"Creates intuitive, responsive, and performant user interfaces and interactive web applications.","1. HTML5 Semantic Layouts -> 2. Modern CSS & Flexbox/Grid -> 3. Modern JavaScript (ES6+) -> 4. React.js & State Management -> 5. Build Tools & Responsive UI"
8,Software Developer,Software Development,"data structures, algorithms, oop, git, python, java, sql","system design, unit testing, agile, linux",0,"Engineers end-to-end software solutions, writes modular algorithms, and solves complex algorithmic problems.","1. Programming Fundamentals -> 2. Data Structures & Algorithms -> 3. OOP & Software Design Patterns -> 4. Database Management -> 5. Version Control & Unit Testing"
9,QA Engineer,Quality Assurance,"manual testing, automation testing, selenium, pytest, sql, test-driven development","postman, jira, ci/cd, agile, cypress",0,"Ensures software quality, reliability, and security through comprehensive manual and automated test suites.","1. QA Methodologies & Test Cases -> 2. Selenium WebDriver Automation -> 3. API Testing with Postman -> 4. Python PyTest / Unit Testing -> 5. CI/CD Integration"
10,Business Analyst,Data & Analytics,"excel, sql, data analysis, communication, problem solving, power bi","tableau, agile, jira, project management",0,"Bridges the gap between business objectives and technology solutions using data-driven analysis and workflows.","1. Business Process Analysis -> 2. Advanced Excel & Financial Modeling -> 3. SQL & Data Querying -> 4. Power BI Dashboards -> 5. Agile Requirements & User Stories"
11,Full Stack Developer,Web Development,"html, css, javascript, react, node.js, sql, mongodb, git","docker, typescript, express.js, aws, rest api",1,"Develops both client-side user interfaces and server-side databases and APIs for complete web applications.","1. HTML/CSS/JavaScript -> 2. React.js Frontend -> 3. Node.js/Express Backend -> 4. SQL & MongoDB Databases -> 5. Full Stack Integration & Deployment"
12,DevOps Engineer,Cloud & Infrastructure,"linux, git, docker, kubernetes, ci/cd, jenkins, aws","terraform, ansible, bash, python, monitoring",1,"Automates build, test, and release pipelines and manages scalable cloud infrastructure and containers.","1. Linux & Shell Scripting -> 2. Git & CI/CD Pipelines (Jenkins/GitHub Actions) -> 3. Docker Containerization -> 4. Kubernetes Orchestration -> 5. Cloud Platform (AWS/Azure) & Terraform"
13,Mobile App Developer,Mobile Development,"kotlin, java, android, rest api, git, oop","flutter, dart, firebase, sqlite, ui/ux",0,"Designs and builds high-performance native and cross-platform mobile apps for Android and iOS.","1. Java/Kotlin/Dart Fundamentals -> 2. UI Layouts & Material Design -> 3. State Management & Lifecycle -> 4. REST API & Local Storage (SQLite/Room) -> 5. App Publishing & Performance"
14,Cybersecurity Analyst,Security & Networking,"network security, linux, cryptography, wireshark, ethical hacking, firewalls","siem, python, owasp, penetration testing",1,"Protects computer systems, networks, and data from security breaches, malware, and cyber vulnerabilities.","1. Networking Fundamentals (TCP/IP, DNS) -> 2. Linux Administration -> 3. Security Fundamentals & Cryptography -> 4. Vulnerability Assessment (Wireshark/Nmap) -> 5. SIEM & Incident Response"
